거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd,지역,지역코드
2021-12-04,반송동,79,시범다은마을우남퍼스트빌,84.4275,14,75000,2007,,경기 화성시,,,,,41590-966,79,0,,,중개거래,1,N,,동탄중앙로,171,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-12-03,잠실동,44,레이크팰리스,116.19,16,285000,2006,,서울 송파구,,,,,11710-5957,44,0,,,중개거래,1,N,,잠실로,88,0,3123015,1,11710,0.0,11710,10100,서울 송파구,11710
2021-12-02,오산동,972,동탄역 반도유보라 아이비파크6.0,84.9885,24,127000,2017,,경기 화성시,,,,,41590-1620,972,0,,,중개거래,1,N,,동탄기흥로,479,12,3012058,2,41590,0.0,41597,10400,화성시,41597
2021-12-01,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,76.78,28,76000,2007,,경기 화성시,,,,,41590-973,80,0,,,중개거래,1,N,,동탄중앙로,189,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-12-01,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,84.65,24,85000,2007,,경기 화성시 서울 서초구,,,,,41590-973,80,0,,,중개거래,1,N,,동탄중앙로,189,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-11-29,산척동,745,레이크힐 반도유보라 아이비파크 10.2,84.9991,7,62500,2018,,경기 화성시,,,,,41590-1814,745,0,,,중개거래,1,N,,동탄순환대로10길,88,0,4852370,1,41590,,41597,11000,화성시,41597
2021-11-27,개포동,1281,디에이치아너힐즈,59.8732,6,230000,2019,,서울 강남구,,,,,11680-4850,1281,0,,,중개거래,1,N,,삼성로,11,0,3122005,1,11680,,11680,10300,서울 강남구,11680
2021-11-27,청계동,536,시범반도유보라아이비파크4.0,84.9705,38,121000,2018,,경기 화성시,,,,,41590-1673,536,0,,,중개거래,1,N,,동탄대로시범길,134,0,4852353,0,41590,0.0,41597,10500,화성시,41597
2021-11-27,청담동,102-13,청담파라곤Ⅱ2단지,149.74,4,320000,2010,,서울 강남구,,,,,11680-3881,102,13,22.01.13,O,중개거래,1,N,,선릉로190길,68,0,4166482,1,11680,0.0,11680,10400,서울 강남구,11680
2021-11-26,잠실동,19,잠실엘스,119.93,18,340000,2008,,서울 송파구,,,,,11710-6346,19,0,,,중개거래,1,N,,올림픽로,99,0,3123023,1,11710,0.0,11710,10100,서울 송파구,11710
2021-11-26,산척동,745,레이크힐 반도유보라 아이비파크 10.2,84.9991,4,65000,2018,,경기 화성시,,,,,41590-1814,745,0,,,중개거래,1,N,,동탄순환대로10길,88,0,4852370,1,41590,,41597,11000,화성시,41597
2021-11-26,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,59.07,8,67900,2007,,경기 화성시,,,,,41590-973,80,0,,,중개거래,1,N,,동탄중앙로,189,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-11-26,산척동,745,레이크힐 반도유보라 아이비파크 10.2,96.7859,2,68900,2018,,경기 화성시,,,,,41590-1814,745,0,,,중개거래,1,N,,동탄순환대로10길,88,0,4852370,1,41590,,41597,11000,화성시,41597
2021-11-24,잠실동,44,레이크팰리스,135.82,27,354000,2006,,서울 송파구,,,,,11710-5957,44,0,,,중개거래,1,N,,잠실로,88,0,3123015,1,11710,0.0,11710,10100,서울 송파구,11710
2021-11-23,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,59.07,6,63000,2007,,경기 화성시,,,,,41590-973,80,0,,,중개거래,1,N,,동탄중앙로,189,0,3210027,1,41590,0.0,41597,10200,화성시,41597
