지역,지역코드,거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd
성남시 수정구,41131,2026-07-30,태평동,3659,태평동낙원스카이뷰,79.143,10,67000,2004,,경기 성남시 수정구,,개인,개인,,41131-37,3659,0000,,,중개거래,1,N,,수정로,00131,00000,3178018,02,41131,0,41131,10200
성남시 수정구,41131,2026-07-30,신흥동,6971,산성역자이푸르지오3단지,51.94,24,118500,2024,,경기 성남시 수정구,,개인,개인,,41131-1713,6971,0000,,,중개거래,1,N,,희망로,00531,00000,3179026,00,41131,,41131,10100
성남시 수정구,41131,2026-07-30,창곡동,515,위례호반써밋에비뉴,98.88,6,142500,2016,,서울 서초구,,개인,개인,,41131-1549,0515,0000,,,중개거래,1,N,,위례중앙로,00216,00000,3000236,01,41131,,41131,10800
성남시 수정구,41131,2026-07-30,창곡동,515,위례호반써밋에비뉴,98.95,11,182500,2016,,서울 강남구,,개인,개인,,41131-1549,0515,0000,,,중개거래,1,N,,위례중앙로,00216,00000,3000236,01,41131,,41131,10800
성남시 수정구,41131,2026-07-29,신흥동,179,삼부르네상스파크1,38.14,9,28000,2006,,경기 성남시 수정구,,개인,개인,삼부르네상스 파크 I,41131-1223,0179,0000,,,중개거래,1,N,26.09.03,수정로,00312,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-07-29,신흥동,6963,산성역자이푸르지오2단지,84.98,7,140000,2024,,경기 성남시 수정구,,개인,개인,,41131-1711,6963,0000,,,중개거래,1,N,,수정로,00288,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-07-29,신흥동,6971,산성역자이푸르지오3단지,59.98,3,132000,2024,,경기 성남시 수정구,,개인,개인,,41131-1713,6971,0000,,,중개거래,1,N,,희망로,00531,00000,3179026,00,41131,,41131,10100
성남시 수정구,41131,2026-07-29,태평동,7343,가천대역동부센트레빌1단지,84.91,11,81500,2006,,"경기 성남시 수정구, 경기 성남시 중원구",,개인,개인,,41131-1254,7343,0000,,,중개거래,1,N,,태평로,00028,00000,3178032,01,41131,0,41131,10200
성남시 수정구,41131,2026-07-28,고등동,590,판교밸리제일풍경채,84.9387,7,124100,2020,,,,개인,법인,109동,41131-1645,0590,0000,,,직거래,1,N,26.08.31,고등공원로,00019,00000,3352361,00,41131,0,41131,11200
성남시 수정구,41131,2026-07-28,태평동,7306,선경태평,46.01,1,36959,1991,,,,기타,개인,103,41131-8,7306,0000,,,직거래,1,N,26.07.29,시민로,00214,00000,3178033,00,41131,0,41131,10200
성남시 수정구,41131,2026-07-28,수진동,4557,밀란체1,116.556,6,76000,2005,,"경기 성남시 수정구, 경기 성남시 중원구",,개인,개인,,41131-50,4557,0000,,,중개거래,1,N,,성남대로,01215,00000,2000005,02,41131,0,41131,10300
